CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
68,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,166,42,46.00,29.10,14.00,15.90,88.80,85.80,31.30,31.50,56.40,83.40,55.80,30,30,12.10,20,25,9.50,21.80,2.00,4.30,-2.40,3.10,2348,3.20,1.50,20,78.10
69,Guyana,Guyana,Americas,91,19,59.50,46.90,47.40,41.50,67.50,74.80,67.40,63.10,67.30,83.30,69.40,55,30,5.30,33,40,23.20,29.00,0.80,15.50,43.40,12.10,19684,15.80,0.70,1834,43.90
70,Haiti,Haiti,Americas,145,28,50.00,24.10,18.60,14.30,81.50,97.00,94.80,33.50,54.70,56.20,65.40,30,30,7.30,30,30,7.40,10.10,11.40,33.20,-3.70,0.10,2916,14.50,22.90,30,25.10
71,Honduras,Honduras,Americas,92,20,59.50,40.30,29.00,25.40,82.70,78.70,92.10,56.90,39.10,72.70,71.60,65,60,6.70,25,25,21.90,26.60,9.90,54.20,-8.00,1.40,5450,9.40,3.50,419,48.90
72,Hungary,Hungary,Europe,48,29,66.90,75.80,62.20,44.40,84.10,31.60,58.40,77.20,61.20,78.50,79.20,80,70,2.90,15,9,35.80,47.70,9.70,322.70,-5.00,2.30,33030,4.40,3.30,4169,81.20
73,Iceland,Iceland,Europe,13,9,77.00,97.10,94.80,85.30,72.90,36.80,76.10,83.30,67.40,79.30,81.00,80,70,2.00,32,20,36.10,45.90,0.40,20.40,-6.60,2.20,55966,5.00,2.90,-811,79.90
74,India,India,Asia-Pacific,131,27,53.90,49.90,51.50,42.40,79.50,76.20,4.00,63.90,58.20,70.00,71.00,40,40,7.00,31,32,6.80,28.20,1380.00,8907.10,-8.00,3.50,6461,7.10,6.20,64062,89.60
75,Indonesia,Indonesia,Asia-Pacific,63,10,64.40,38.60,43.20,39.90,85.30,91.20,80.10,66.60,59.30,80.30,78.60,50,60,5.70,30,22,9.50,17.10,273.50,3302.40,-2.10,3.60,12222,4.10,2.00,18581,36.60
76,Iran,Iran,Middle East and North Africa,170,14,42.40,26.60,29.40,19.80,80.80,92.50,54.70,38.90,49.40,42.30,59.20,5,10,12.90,35,25,8.40,15.80,84.00,1100.10,1.50,1.20,13073,11.00,36.50,1342,42.80
77,Ireland,Ireland,Europe,3,2,82.00,92.60,93.00,80.70,76.50,79.90,89.00,87.20,60.90,85.20,79.20,90,70,2.90,41,13,22.70,25.90,5.00,471.40,2.50,5.80,94392,5.90,-0.50,33424,59.80
78,Israel,Israel,Middle East and North Africa,43,2,68.00,83.20,85.00,65.20,60.40,48.40,23.10,81.10,56.50,84.80,78.80,80,70,3.10,50,23,30.50,41.50,9.20,373.70,-2.40,2.40,40547,4.60,-0.60,24758,73.00
79,Italy,Italy,Europe,57,33,65.40,81.70,78.60,57.30,57.70,20.60,49.00,73.80,70.40,86.20,79.20,80,50,2.90,43,24,42.50,51.40,59.60,2461.70,-8.90,-0.90,40861,9.30,-0.10,-388,155.60
80,Jamaica,Jamaica,Americas,46,7,67.40,65.00,70.60,49.00,76.60,71.60,79.40,56.50,64.70,76.20,69.20,80,50,10.40,30,25,28.60,30.80,3.00,27.30,-10.20,-1.00,9975,8.40,5.20,366,105.60
81,Japan,Japan,Asia-Pacific,35,6,69.90,94.60,95.30,81.40,67.40,52.50,19.70,78.30,66.60,87.10,75.40,60,60,2.30,41,24,32.00,39.80,125.80,5313.00,-4.80,-0.30,42248,3.00,0.00,10254,256.20
82,Jordan,Jordan,Middle East and North Africa,87,5,60.10,53.70,42.60,49.50,84.80,71.60,15.90,59.60,57.20,84.20,71.80,70,60,9.10,30,20,14.80,30.80,10.20,105.20,-2.00,1.20,10306,18.50,0.40,726,88.50
83,Kazakhstan,Kazakhstan,Asia-Pacific,64,11,64.40,55.30,34.50,37.90,92.70,86.50,93.50,64.70,62.70,69.10,75.40,50,50,4.80,10,20,15.10,21.20,18.80,501.30,-2.60,2.20,26565,6.10,6.80,3877,27.40
84,Kenya,Kenya,Sub-Saharan Africa,138,28,52.60,40.60,39.00,30.90,79.00,82.20,10.60,56.10,56.80,75.50,56.00,55,50,12.00,30,30,17.40,24.40,53.80,239.80,-0.10,4.40,4926,3.00,5.30,717,68.70
85,Kiribati,Kiribati,Asia-Pacific,96,20,59.20,70.60,81.80,45.40,69.30,0.00,99.40,63.20,65.10,80.70,80.00,25,30,0.00,35,35,24.90,119.10,0.10,0.30,-0.50,2.70,2200,N/A,2.50,0,17.30
86,"Korea, South",SouthKorea,Asia-Pacific,19,5,74.60,90.50,77.10,69.20,60.40,84.50,95.30,84.80,55.60,85.20,73.00,60,60,8.50,50,28,27.40,22.70,51.80,2310.40,-1.00,2.00,44621,4.10,0.50,9224,48.70
87,Kosovo,Kosovo,Europe,86,40,60.10,47.40,31.00,37.50,92.50,71.60,67.40,68.00,53.10,79.10,78.60,65,30,3.20,10,10,23.40,30.70,1.80,20.40,-6.00,2.20,11274,N/A,0.20,304,24.40
88,Kuwait,Kuwait,Middle East and North Africa,101,7,58.30,41.90,42.00,43.80,97.70,4.00,99.70,55.40,52.70,71.70,75.60,55,60,4.70,0,15,1.40,56.60,4.30,203.30,-8.10,-1.60,41627,6.80,2.10,-319,11.50
89,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,116,24,55.80,25.10,11.80,28.80,94.80,66.70,79.00,56.10,52.20,71.40,73.20,60,50,5.90,10,10,17.90,33.30,6.60,32.80,-8.00,1.80,5036,7.90,6.30,-331,74.30
90,Laos,Laos,Asia-Pacific,151,33,49.20,41.10,11.10,20.40,87.20,88.40,44.00,60.50,44.30,71.80,66.80,35,20,9.10,24,24,11.40,19.70,7.30,58.90,-0.40,4.90,8111,1.00,5.10,968,68.00
91,Latvia,Latvia,Europe,18,13,74.80,88.50,75.10,61.10,76.40,53.20,91.40,81.90,62.40,83.80,79.20,85,60,2.90,31,20,31.20,39.50,1.90,60.10,-3.60,1.60,31509,8.20,0.10,873,45.50
92,Lebanon,Lebanon,Middle East and North Africa,162,12,47.30,33.70,27.40,22.80,88.50,77.40,0.00,48.80,54.20,41.10,74.20,50,50,5.40,25,17,15.30,27.40,6.80,78.90,-25.00,-6.20,11564,6.60,88.20,3067,154.40
93,Lesotho,Lesotho,Sub-Saharan Africa,157,38,48.10,45.00,44.10,42.80,77.40,4.50,27.50,44.20,58.30,75.90,62.20,55,40,11.40,35,25,20.20,56.40,2.10,5.60,-4.50,-1.10,2718,24.70,4.90,102,50.30
94,Liberia,Liberia,Sub-Saharan Africa,159,39,47.90,32.20,23.40,25.10,86.10,68.00,64.60,34.80,43.20,61.70,60.80,55,20,12.10,25,25,12.00,32.70,5.10,7.30,-3.00,-0.70,1557,3.30,17.00,87,61.80
95,Lithuania,Lithuania,Europe,17,12,75.80,88.60,74.60,66.60,84.54,59.90,86.50,87.30,59.50,82.30,79.20,70,70,2.90,20,15,30.30,36.60,2.80,108.60,-0.80,2.90,38824,8.40,1.10,479,47.00
96,Luxembourg,Luxembourg,Europe,5,3,80.60,97.40,96.40,89.50,64.10,41.50,98.70,89.30,56.30,80.10,79.20,95,80,2.90,42,17,39.20,44.10,0.60,73.90,-1.30,2.10,118002,6.70,0.00,62145,25.50
97,North Macedonia,Macedonia,Europe,53,32,65.70,57.40,50.20,38.70,95.00,67.70,69.80,74.40,54.10,78.30,77.80,65,60,6.10,10,10,17.20,32.80,2.10,34.70,-4.50,1.10,16712,18.40,1.20,274,51.30
98,Madagascar,Madagascar,Sub-Saharan Africa,98,12,58.90,40.30,33.40,23.00,90.70,92.90,87.80,37.40,56.00,75.90,64.80,55,50,10.10,20,20,11.40,15.40,27.70,44.10,-4.20,2.30,1599,1.90,4.20,359,43.60
